ID,Gene,ncbi,RSG
2156,hsa3600,3600,NG_029605.2
2157,hsa3603,3603,NG_029933.1
2158,hsa3604,3604,NG_052834.1
2159,hsa3605,3605,NG_033021.1
2160,hsa3606,3606,NG_028143.1
2161,hsa3609,3609,NG_029220.1
2162,hsa361,361,NG_029560.1
2163,hsa3611,3611,NG_029702.1
2164,hsa3612,3612,NG_015829.1
2165,hsa3613,3613,NG_028104.1
2166,hsa3614,3614,NG_009194.1
2167,hsa3615,3615,NG_012091.1
2168,hsa362,362,NG_033883.1
2169,hsa3620,3620,NG_028155.1
2170,hsa3621,3621,NG_012197.1
2171,hsa3630,3630,NG_007114.1
2172,hsa3631,3631,NG_029890.1
2173,hsa3635,3635,NG_033988.1
2174,hsa3636,3636,NG_023253.2
2175,hsa3640,3640,NG_012092.1
2176,hsa3643,3643,NG_008852.2
2177,hsa3651,3651,NG_008183.1
2178,hsa3654,3654,NG_008387.1
2179,hsa3655,3655,NG_008853.1
2180,hsa3659,3659,NG_011450.1
2181,hsa366,366,NG_011975.2
2182,hsa3661,3661,NG_031810.1
2183,hsa3662,3662,NG_027728.1
2184,hsa3663,3663,NG_012306.1
2185,hsa3664,3664,NG_007081.2
2186,hsa3665,3665,NG_029106.1
2187,hsa3667,3667,NG_015830.1
2188,hsa367,367,NG_009014.2
2189,hsa3670,3670,NG_023040.1
2190,hsa3673,3673,NG_008330.2
2191,hsa3674,3674,NG_008331.1
2192,hsa3675,3675,NG_029107.2
2193,hsa3676,3676,NG_050623.1
2194,hsa3679,3679,NG_012343.1
2195,hsa3680,3680,NG_016166.1
2196,hsa3681,3681,NG_050624.1
2197,hsa3684,3684,NG_011719.1
2198,hsa3687,3687,NG_011451.1
2199,hsa3688,3688,NG_029012.1
2200,hsa3689,3689,NG_007270.2
2201,hsa369,369,NG_016339.2
2202,hsa3690,3690,NG_008332.2
2203,hsa3691,3691,NG_007372.1
2204,hsa3692,3692,NG_023238.1
2205,hsa3694,3694,NG_042041.1
2206,hsa3697,3697,NG_016005.1
2207,hsa37,37,NG_007975.1
2208,hsa3700,3700,NG_016006.2
2209,hsa3702,3702,NG_016276.1
2210,hsa3703,3703,NG_042806.1
2211,hsa3704,3704,NG_012093.2
2212,hsa3705,3705,NG_051071.1
2213,hsa3708,3708,NG_016144.1
2214,hsa3709,3709,NG_042142.1
2215,hsa3710,3710,NG_027729.1
2216,hsa3712,3712,NG_011986.2
2217,hsa3713,3713,NG_033018.1
2218,hsa3716,3716,NG_023402.2
2219,hsa3717,3717,NG_009904.1
2220,hsa3718,3718,NG_007273.1
2221,hsa372,372,NG_051953.1
2222,hsa3725,3725,NG_047027.1
2223,hsa3728,3728,NG_009090.2
2224,hsa3730,3730,NG_007088.2
2225,hsa3732,3732,NG_023234.1
2226,hsa3735,3735,NG_028025.1
2227,hsa3736,3736,NG_011815.1
2228,hsa3737,3737,NG_027997.2
2229,hsa3739,3739,NG_042309.1
2230,hsa3741,3741,NG_012198.1
2231,hsa374291,374291,NG_008283.1
2232,hsa374393,374393,NG_034129.1
2233,hsa374454,374454,NG_012322.1
2234,hsa3745,3745,NG_041781.2
2235,hsa3746,3746,NG_041827.1
2236,hsa374654,374654,NG_030338.1
2237,hsa3750,3750,NG_012515.2
2238,hsa3751,3751,NG_034230.1
2239,hsa3752,3752,NG_032011.2
2240,hsa3753,3753,NG_009091.1
2241,hsa3754,3754,NG_050750.1
2242,hsa375449,375449,NG_034036.1
2243,hsa3756,3756,NG_029777.2
2244,hsa3757,3757,NG_008916.1
2245,hsa375748,375748,NG_034107.1
2246,hsa375790,375790,NG_016346.1
2247,hsa3758,3758,NG_009379.1
2248,hsa3759,3759,NG_008798.1
2249,hsa3761,3761,NG_050625.1
2250,hsa3762,3762,NG_023406.2
2251,hsa3763,3763,NG_029892.2
2252,hsa3764,3764,NG_041794.1
2253,hsa3766,3766,NG_016411.1
2254,hsa3767,3767,NG_012446.1
2255,hsa3768,3768,NG_042809.1
2256,hsa3769,3769,NG_016742.1
2257,hsa3777,3777,NG_033884.1
2258,hsa3778,3778,NG_012270.1
2259,hsa3779,3779,NG_011452.2
2260,hsa3780,3780,NG_029893.1
2261,hsa3783,3783,NG_052672.1
2262,hsa3784,3784,NG_008935.1
2263,hsa3785,3785,NG_009004.2
2264,hsa3786,3786,NG_008854.2
2265,hsa378884,378884,NG_016750.1
2266,hsa3790,3790,NG_012873.1
2267,hsa3791,3791,NG_012004.1
2268,hsa3792,3792,NG_007492.3
2269,hsa3795,3795,NG_012199.2
2270,hsa3796,3796,NG_042185.1
2271,hsa3798,3798,NG_008155.1
2272,hsa38,38,NG_009888.2
2273,hsa3800,3800,NG_042216.1
2274,hsa3802,3802,NG_051369.1
2275,hsa3804,3804,NG_046935.1
2276,hsa3811,3811,NG_021414.2
2277,hsa3812,3812,NG_012802.2
2278,hsa3814,3814,NG_032151.1
2279,hsa3815,3815,NG_007456.1
2280,hsa3816,3816,NG_012094.1
2281,hsa3817,3817,NG_031984.1
2282,hsa3818,3818,NG_012095.2
2283,hsa3823,3823,NG_029682.1
2284,hsa3827,3827,NG_016009.1
2285,hsa383,383,NG_007086.2
2286,hsa3831,3831,NG_012307.1
2287,hsa3832,3832,NG_032580.1
2288,hsa3835,3835,NG_032055.1
2289,hsa384,384,NG_011964.1
2290,hsa3845,3845,NG_007524.2
2291,hsa3848,3848,NG_008364.2
2292,hsa3849,3849,NG_008296.1
2293,hsa3850,3850,NG_008350.1
2294,hsa3851,3851,NG_007380.1
2295,hsa3852,3852,NG_008297.1
2296,hsa3853,3853,NG_008298.1
2297,hsa3854,3854,NG_008299.1
2298,hsa3855,3855,NG_012296.1
2299,hsa3856,3856,NG_008402.2
2300,hsa3857,3857,NG_008300.2
2301,hsa3858,3858,NG_008405.1
2302,hsa3860,3860,NG_008406.1
2303,hsa3861,3861,NG_008624.1
2304,hsa3866,3866,NG_012284.1
2305,hsa386682,386682,NG_050765.1
2306,hsa3868,3868,NG_008301.1
2307,hsa387,387,NG_051308.1
2308,hsa387082,387082,NG_012301.1
2309,hsa387119,387119,NG_021248.1
2310,hsa3872,3872,NG_008625.1
2311,hsa3875,3875,NG_008351.1
2312,hsa387893,387893,NG_050615.1
2313,hsa3880,3880,NG_012285.1
2314,hsa3881,3881,NG_012288.1
2315,hsa3882,3882,NG_012424.1
2316,hsa3883,3883,NG_012289.1
2317,hsa388389,388389,NG_032792.1
2318,hsa3884,3884,NG_012290.1
2319,hsa3885,3885,NG_012291.1
2320,hsa388531,388531,NG_016751.1
2321,hsa388552,388552,NG_008372.1
2322,hsa3886,3886,NG_012292.1
2323,hsa3887,3887,NG_008184.1
2324,hsa3888,3888,NG_012298.1
2325,hsa3889,3889,NG_008352.1
2326,hsa3890,3890,NG_012299.1
2327,hsa3891,3891,NG_008353.1
2328,hsa3892,3892,NG_008086.2
2329,hsa389421,389421,NG_032815.1
2330,hsa389434,389434,NG_016007.2
2331,hsa3897,3897,NG_009645.4
2332,hsa389840,389840,NG_021184.1
2333,hsa389856,389856,NG_053124.1
2334,hsa389874,389874,NG_021228.1
2335,hsa3899,3899,NG_052835.1
2336,hsa39,39,NG_023389.2
2337,hsa3908,3908,NG_008678.1
2338,hsa3909,3909,NG_007853.2
2339,hsa3910,3910,NG_008209.1
2340,hsa3911,3911,NG_050626.1
2341,hsa3912,3912,NG_023255.1
2342,hsa3913,3913,NG_008094.1
2343,hsa3914,3914,NG_007116.1
2344,hsa3915,3915,NG_011463.1
2345,hsa3918,3918,NG_007079.2
2346,hsa3920,3920,NG_007995.1
2347,hsa3921,3921,NG_033234.1
2348,hsa392255,392255,NG_008981.1
2349,hsa3929,3929,NG_034239.1
2350,hsa393,393,NG_013220.1
2351,hsa3930,3930,NG_008099.1
2352,hsa3931,3931,NG_009778.1
2353,hsa3932,3932,NG_023387.1
2354,hsa3938,3938,NG_008104.2
2355,hsa3939,3939,NG_008185.1
2356,hsa3945,3945,NG_017038.1
2357,hsa3948,3948,NG_011816.1
2358,hsa3949,3949,NG_009060.1
2359,hsa3952,3952,NG_007450.1
2360,hsa3953,3953,NG_015831.2
2361,hsa3954,3954,NG_013063.1
2362,hsa3955,3955,NG_008109.2
2363,hsa3957,3957,NG_012096.1
2364,hsa3958,3958,NG_017089.1
2365,hsa396,396,NG_034210.1
2366,hsa3972,3972,NG_011464.1
2367,hsa3973,3973,NG_008193.2
2368,hsa3976,3976,NG_008721.1
2369,hsa3977,3977,NG_011817.1
2370,hsa3978,3978,NG_007395.1
2371,hsa3980,3980,NG_029221.1
2372,hsa3981,3981,NG_007396.1
2373,hsa3982,3982,NG_012924.1
2374,hsa3983,3983,NG_029872.2
2375,hsa3984,3984,NG_008129.1
2376,hsa3985,3985,NG_029895.2
2377,hsa399,399,NG_033255.2
2378,hsa3990,3990,NG_011465.2
2379,hsa3991,3991,NG_034246.1
2380,hsa399687,399687,NG_051989.1
2381,hsa3998,3998,NG_012097.1
2382,hsa399979,399979,NG_053190.1
2383,hsa40,40,NG_029763.1
2384,hsa4000,4000,NG_008692.2
2385,hsa4001,4001,NG_008360.2
2386,hsa4004,4004,NG_032827.3
2387,hsa4007,4007,NG_017135.1
2388,hsa400720,400720,NG_051489.1
2389,hsa401,401,NG_008169.1
2390,hsa4010,4010,NG_017039.1
2391,hsa401024,401024,NG_051365.1
2392,hsa4014,4014,NG_011818.1
2393,hsa4015,4015,NG_008722.1
2394,hsa4016,4016,NG_011466.1
2395,hsa4018,4018,NG_016147.1
2396,hsa4023,4023,NG_008855.2
2397,hsa4026,4026,NG_016932.2
2398,hsa4035,4035,NG_016444.1
2399,hsa4036,4036,NG_012634.1
2400,hsa4038,4038,NG_021394.1
2401,hsa4040,4040,NG_016168.2
2402,hsa4041,4041,NG_015835.2
2403,hsa4043,4043,NG_033873.1
2404,hsa4046,4046,NG_011509.1
2405,hsa404672,404672,NG_011758.1
2406,hsa4047,4047,NG_011510.1
2407,hsa4049,4049,NG_012010.1
2408,hsa405,405,NG_028248.1
2409,hsa4053,4053,NG_021486.1
2410,hsa4054,4054,NG_016437.1
2411,hsa4055,4055,NG_033039.2
2412,hsa4056,4056,NG_028161.1
2413,hsa4057,4057,NG_023257.2
2414,hsa4059,4059,NG_007480.1
2415,hsa4066,4066,NG_027756.2
2416,hsa4067,4067,NG_029593.1
2417,hsa4068,4068,NG_007464.1
2418,hsa4069,4069,NG_008195.1
2419,hsa406952,406952,NG_032702.1
2420,hsa407,407,NG_050734.1
2421,hsa4070,4070,NG_016237.1
2422,hsa4072,4072,NG_012352.2
2423,hsa408,408,NG_028118.1
2424,hsa4081,4081,NG_016811.1
2425,hsa4086,4086,NG_042284.1
2426,hsa4087,4087,NG_029946.1
2427,hsa4088,4088,NG_011990.1
2428,hsa4089,4089,NG_013013.2
2429,hsa4090,4090,NG_032037.1
2430,hsa4091,4091,NG_012244.2
2431,hsa4092,4092,NG_023330.1
2432,hsa4093,4093,NG_016963.1
2433,hsa4094,4094,NG_016440.1
2434,hsa4099,4099,NG_034078.1
2435,hsa410,410,NG_009260.2
2436,hsa4100,4100,NG_013243.1
2437,hsa4102,4102,NG_013244.1
2438,hsa4103,4103,NG_013245.1
2439,hsa4107,4107,NG_015868.1
2440,hsa411,411,NG_007089.1
2441,hsa4110,4110,NG_012803.1
2442,hsa4111,4111,NG_015852.2
2443,hsa4113,4113,NG_013246.1
2444,hsa4115,4115,NG_015870.1
2445,hsa412,412,NG_021472.2
2446,hsa4125,4125,NG_008318.1
2447,hsa4126,4126,NG_012804.2
2448,hsa4128,4128,NG_008957.2
2449,hsa4129,4129,NG_008723.2
2450,hsa4133,4133,NG_052836.1
2451,hsa4134,4134,NG_052840.1
2452,hsa4135,4135,NG_052841.1
2453,hsa4137,4137,NG_007398.2
2454,hsa4140,4140,NG_030339.2
2455,hsa414062,414062,NG_023325.1
2456,hsa4141,4141,NG_034077.1
2457,hsa4143,4143,NG_008083.1
2458,hsa4144,4144,NG_029183.1
2459,hsa4146,4146,NG_027941.1
2460,hsa4148,4148,NG_008087.1
2461,hsa4149,4149,NG_029830.1
2462,hsa415,415,NG_007091.1
2463,hsa4152,4152,NG_029505.1
2464,hsa4153,4153,NG_008196.1
2465,hsa4154,4154,NG_047058.1
2466,hsa4157,4157,NG_012026.1
2467,hsa4158,4158,NG_011819.1
2468,hsa4159,4159,NG_012200.1
2469,hsa4160,4160,NG_016441.1
2470,hsa4163,4163,NG_012265.1
2471,hsa4168,4168,NG_016439.1
2472,hsa4170,4170,NG_029146.1
2473,hsa4171,4171,NG_050771.1
2474,hsa4173,4173,NG_032967.1
2475,hsa4175,4175,NG_008958.1
2476,hsa4179,4179,NG_009296.1
2477,hsa4191,4191,NG_052976.1
2478,hsa4193,4193,NG_016708.1
2479,hsa4194,4194,NG_029367.1
2480,hsa4200,4200,NG_016198.1
2481,hsa4204,4204,NG_007107.3
2482,hsa4205,4205,NG_016443.2
2483,hsa4208,4208,NG_023427.1
2484,hsa421,421,NG_023326.1
2485,hsa4210,4210,NG_007871.1
2486,hsa4211,4211,NG_011467.1
2487,hsa4212,4212,NG_029108.1
2488,hsa4214,4214,NG_031884.1
2489,hsa4217,4217,NG_011965.1
2490,hsa4221,4221,NG_008929.1
2491,hsa4222,4222,NG_032987.1
2492,hsa4223,4223,NG_032988.1
2493,hsa4232,4232,NG_009226.1
2494,hsa4233,4233,NG_008996.1
2495,hsa4234,4234,NG_047060.1
2496,hsa4237,4237,NG_029688.1
2497,hsa4239,4239,NG_027952.1
2498,hsa4245,4245,NG_032928.2
2499,hsa4247,4247,NG_008920.1
2500,hsa4249,4249,NG_030324.1
2501,hsa4253,4253,NG_030349.3
2502,hsa4254,4254,NG_012098.2
2503,hsa4255,4255,NG_052673.1
2504,hsa4256,4256,NG_023331.2
2505,hsa4261,4261,NG_009628.1
2506,hsa4267,4267,NG_009174.1
2507,hsa427,427,NG_008985.2
2508,hsa4277,4277,NG_021405.1
2509,hsa4281,4281,NG_008197.2
2510,hsa4282,4282,NG_012099.1
2511,hsa4284,4284,NG_021397.2
2512,hsa4285,4285,NG_052977.1
2513,hsa4286,4286,NG_011631.1
2514,hsa4287,4287,NG_008198.2
2515,hsa4288,4288,NG_047061.1
2516,hsa429,429,NG_008950.1
2517,hsa4291,4291,NG_027720.1
2518,hsa4292,4292,NG_007109.2
2519,hsa4297,4297,NG_027813.1
2520,hsa43,43,NG_007474.2
2521,hsa4301,4301,NG_029689.2
2522,hsa4303,4303,NG_016418.1
2523,hsa4306,4306,NG_013350.1
2524,hsa4308,4308,NG_016453.2
2525,hsa4311,4311,NG_051105.1
2526,hsa4312,4312,NG_011740.2
2527,hsa4313,4313,NG_008989.1
2528,hsa4314,4314,NG_012100.1
2529,hsa4317,4317,NG_012101.1
2530,hsa4318,4318,NG_011468.1
2531,hsa4320,4320,NG_029443.1
2532,hsa4321,4321,NG_032936.1
2533,hsa4322,4322,NG_021404.1
2534,hsa4323,4323,NG_046989.1
2535,hsa4327,4327,NG_042870.1
2536,hsa4329,4329,NG_012257.2
2537,hsa433,433,NG_029064.1
2538,hsa4330,4330,NG_023258.1
2539,hsa4338,4338,NG_008435.2
2540,hsa434,434,NG_011439.1
2541,hsa4340,4340,NG_031873.1
2542,hsa435,435,NG_009288.1
2543,hsa4351,4351,NG_008921.1
2544,hsa4352,4352,NG_007525.1
2545,hsa4353,4353,NG_009629.1
2546,hsa4354,4354,NG_015873.1
2547,hsa4359,4359,NG_008055.1
2548,hsa4360,4360,NG_047011.1
2549,hsa4361,4361,NG_007261.1
2550,hsa438,438,NG_016337.1
2551,hsa439,439,NG_051267.1
2552,hsa440,440,NG_033870.2
2553,hsa440138,440138,NG_028038.1
2554,hsa440193,440193,NG_033118.2
2555,hsa440275,440275,NG_034053.1
2556,hsa440689,440689,NG_033089.1
2557,hsa441521,441521,NG_016551.3
2558,hsa443,443,NG_008399.2
2559,hsa4435,4435,NG_015847.1
2560,hsa4436,4436,NG_007110.2
2561,hsa4437,4437,NG_016607.2
2562,hsa4438,4438,NG_029861.1
2563,hsa4439,4439,NG_011611.1
2564,hsa444,444,NG_013210.1
2565,hsa445,445,NG_011542.1
2566,hsa4477,4477,NG_011551.1
2567,hsa4478,4478,NG_012516.1
2568,hsa4481,4481,NG_012102.1
2569,hsa4485,4485,NG_016454.1
2570,hsa4486,4486,NG_030322.1
2571,hsa4487,4487,NG_008121.1
2572,hsa4488,4488,NG_008124.1
2573,hsa4507,4507,NG_032650.2
2574,hsa4515,4515,NG_029506.1
2575,hsa4522,4522,NG_012450.2
2576,hsa4524,4524,NG_013351.1
2577,hsa4528,4528,NG_047062.1
2578,hsa4534,4534,NG_008199.1
2579,hsa4542,4542,NG_052844.1
2580,hsa4544,4544,NG_028160.1
2581,hsa4547,4547,NG_011469.1
2582,hsa4548,4548,NG_008959.1
2583,hsa4552,4552,NG_008856.1
2584,hsa4583,4583,NG_051929.1
2585,hsa4585,4585,NG_053117.1
2586,hsa4588,4588,NG_052845.1
2587,hsa4589,4589,NG_012348.1
2588,hsa4591,4591,NG_009298.1
2589,hsa4593,4593,NG_016016.2
2590,hsa4594,4594,NG_007100.1
2591,hsa4595,4595,NG_008189.1
2592,hsa4597,4597,NG_052674.1
2593,hsa4598,4598,NG_007702.1
2594,hsa4599,4599,NG_027788.2
2595,hsa4601,4601,NG_012103.1
2596,hsa4602,4602,NG_012330.1
2597,hsa4604,4604,NG_031912.1
2598,hsa4606,4606,NG_028026.1
2599,hsa4607,4607,NG_007667.1
2600,hsa4609,4609,NG_007161.2
2601,hsa4613,4613,NG_007457.1
2602,hsa4615,4615,NG_016964.1
2603,hsa4618,4618,NG_021392.1
2604,hsa462,462,NG_012462.1
2605,hsa4620,4620,NG_013014.1
2606,hsa4622,4622,NG_052846.1
2607,hsa4624,4624,NG_023444.1
2608,hsa4625,4625,NG_007884.1
2609,hsa4626,4626,NG_013015.1
2610,hsa4627,4627,NG_011884.2
2611,hsa4628,4628,NG_042305.2
2612,hsa4629,4629,NG_009299.1
2613,hsa463,463,NG_013211.2
2614,hsa4633,4633,NG_007554.1
2615,hsa4634,4634,NG_007555.2
2616,hsa4635,4635,NG_052847.1
2617,hsa4637,4637,NG_029223.1
2618,hsa4638,4638,NG_029111.1
2619,hsa4640,4640,NG_012104.1
2620,hsa4641,4641,NG_047063.1
2621,hsa4643,4643,NG_031999.1
2622,hsa4644,4644,NG_009887.1
2623,hsa4645,4645,NG_012925.2
2624,hsa4646,4646,NG_009934.2
2625,hsa4647,4647,NG_009086.2
2626,hsa4650,4650,NG_013068.1
2627,hsa4653,4653,NG_008859.1
2628,hsa466,466,NG_027673.1
2629,hsa4666,4666,NG_030341.1
2630,hsa4668,4668,NG_009247.1
2631,hsa4669,4669,NG_011552.1
2632,hsa467,467,NG_029871.1
2633,hsa4670,4670,NG_029850.1
2634,hsa4671,4671,NG_008724.1
2635,hsa4674,4674,NG_013274.1
2636,hsa4675,4675,NG_013275.1
2637,hsa4678,4678,NG_029224.1
2638,hsa4683,4683,NG_008860.1
2639,hsa4684,4684,NG_032036.1
2640,hsa4688,4688,NG_007267.1
2641,hsa4689,4689,NG_023400.1
2642,hsa4692,4692,NG_009380.1
2643,hsa4693,4693,NG_009832.1
2644,hsa4694,4694,NG_009381.1
2645,hsa4695,4695,NG_021417.1
2646,hsa4697,4697,NG_050627.1
2647,hsa47,47,NG_047031.1
2648,hsa4700,4700,NG_051973.1
2649,hsa4701,4701,NG_028213.2
2650,hsa4702,4702,NG_042279.2
2651,hsa4703,4703,NG_009382.2
2652,hsa4704,4704,NG_032124.1
2653,hsa4705,4705,NG_031855.2
2654,hsa4709,4709,NG_032156.1
2655,hsa471,471,NG_013002.1
2656,hsa4712,4712,NG_011511.1
2657,hsa4715,4715,NG_042266.1
2658,hsa4719,4719,NG_009248.1
2659,hsa472,472,NG_009830.1
2660,hsa4720,4720,NG_013352.1
2661,hsa4722,4722,NG_011946.2
2662,hsa4723,4723,NG_013353.1
2663,hsa4724,4724,NG_008200.1
2664,hsa4725,4725,NG_028193.1
2665,hsa4726,4726,NG_013354.1
2666,hsa4728,4728,NG_017040.1
2667,hsa4729,4729,NG_013355.1
2668,hsa473,473,NG_047035.1
2669,hsa4731,4731,NG_042281.1
2670,hsa4734,4734,NG_051072.1
2671,hsa4741,4741,NG_008388.1
2672,hsa4744,4744,NG_008404.1
2673,hsa4745,4745,NG_047064.1
2674,hsa4747,4747,NG_008492.1
2675,hsa4750,4750,NG_027982.1
2676,hsa4751,4751,NG_029112.1
2677,hsa4756,4756,NG_016965.1
2678,hsa4758,4758,NG_008201.1
2679,hsa476,476,NG_047036.1
2680,hsa4760,4760,NG_011820.3
2681,hsa4763,4763,NG_009018.1
2682,hsa477,477,NG_008014.1
2683,hsa4771,4771,NG_009057.1
2684,hsa4772,4772,NG_029226.1
2685,hsa4774,4774,NG_011787.2
2686,hsa4775,4775,NG_029147.2
2687,hsa478,478,NG_008015.1
2688,hsa4782,4782,NG_030333.2
2689,hsa4784,4784,NG_032925.2
2690,hsa4790,4790,NG_050628.1
2691,hsa4791,4791,NG_033874.2
2692,hsa4792,4792,NG_007571.1
2693,hsa4793,4793,NG_029624.1
2694,hsa4795,4795,NG_012344.1
2695,hsa4799,4799,NG_029578.1
2696,hsa4803,4803,NG_007944.1
2697,hsa4809,4809,NG_051551.1
2698,hsa481,481,NG_023230.1
2699,hsa4811,4811,NG_033228.1
2700,hsa4821,4821,NG_042186.1
2701,hsa4830,4830,NG_021169.1
2702,hsa4835,4835,NG_034013.1
2703,hsa4841,4841,NG_046742.1
2704,hsa4842,4842,NG_011991.2
2705,hsa4843,4843,NG_011470.1
2706,hsa4846,4846,NG_011992.1
2707,hsa4851,4851,NG_007458.1
2708,hsa4852,4852,NG_016148.1
2709,hsa4853,4853,NG_008163.1
2710,hsa4854,4854,NG_009819.1
2711,hsa4855,4855,NG_028190.1
2712,hsa4856,4856,NG_009779.1
2713,hsa486,486,NG_011543.1
2714,hsa4860,4860,NG_009631.1
2715,hsa4862,4862,NG_023259.1
2716,hsa4864,4864,NG_012795.1
2717,hsa4867,4867,NG_008287.1
2718,hsa4868,4868,NG_013356.2
2719,hsa4869,4869,NG_016018.1
2720,hsa487,487,NG_023327.1
2721,hsa4878,4878,NG_012926.1
2722,hsa488,488,NG_007097.2
2723,hsa4882,4882,NG_009249.1
2724,hsa4883,4883,NG_028162.2
2725,hsa4885,4885,NG_009905.1
2726,hsa489,489,NG_029041.1
2727,hsa4891,4891,NG_021139.1
2728,hsa4893,4893,NG_007572.1
2729,hsa4897,4897,NG_029898.2
2730,hsa4898,4898,NG_029171.2
2731,hsa490,490,NG_029485.2
2732,hsa4901,4901,NG_011697.2
2733,hsa4902,4902,NG_008202.1
2734,hsa4907,4907,NG_028214.1
2735,hsa4908,4908,NG_050629.1
2736,hsa4909,4909,NG_016289.1
2737,hsa491,491,NG_012046.2
2738,hsa4913,4913,NG_008412.1
2739,hsa4914,4914,NG_007493.1
2740,hsa4915,4915,NG_012201.2
2741,hsa4916,4916,NG_029619.1
2742,hsa4919,4919,NG_032801.2
2743,hsa4920,4920,NG_008089.1
2744,hsa4921,4921,NG_016290.2
2745,hsa4922,4922,NG_047010.1
2746,hsa4929,4929,NG_011821.1
2747,hsa493,493,NG_029589.1
2748,hsa4931,4931,NG_029641.1
2749,hsa4935,4935,NG_009074.1
2750,hsa493753,493753,NG_031918.1
2751,hsa4938,4938,NG_011530.2
2752,hsa493856,493856,NG_008636.2
2753,hsa4939,4939,NG_029692.1
2754,hsa4942,4942,NG_008861.1
2755,hsa4943,4943,NG_052856.1
2756,hsa4952,4952,NG_008638.1
2757,hsa4953,4953,NG_012105.1
2758,hsa4956,4956,NG_028006.1
2759,hsa4957,4957,NG_029568.1
2760,hsa4967,4967,NG_023260.1
2761,hsa4968,4968,NG_012106.1
2762,hsa4973,4973,NG_016743.1
2763,hsa4976,4976,NG_011605.1
2764,hsa4978,4978,NG_012107.1
2765,hsa498,498,NG_041769.2
2766,hsa4982,4982,NG_012202.1
2767,hsa4983,4983,NG_008960.1
2768,hsa49856,49856,NG_033937.1
2769,hsa4988,4988,NG_021208.2
2770,hsa4990,4990,NG_008203.1
2771,hsa4998,4998,NG_028251.1
2772,hsa50,50,NG_032143.1
2773,hsa5000,5000,NG_028252.1
2774,hsa5001,5001,NG_029899.1
2775,hsa5004,5004,NG_012108.1
2776,hsa5009,5009,NG_008471.1
2777,hsa501,501,NG_008600.3
2778,hsa5015,5015,NG_008204.2
2779,hsa5016,5016,NG_052675.1
2780,hsa5018,5018,NG_051068.1
2781,hsa5019,5019,NG_011823.1
2782,hsa5023,5023,NG_012109.1
2783,hsa5027,5027,NG_011471.2
2784,hsa5028,5028,NG_032896.2
2785,hsa5034,5034,NG_042033.1
2786,hsa5046,5046,NG_030047.4
2787,hsa5048,5048,NG_009799.1
2788,hsa50484,50484,NG_016617.1
2789,hsa50488,50488,NG_028005.1
2790,hsa50506,50506,NG_009447.1
2791,hsa50509,50509,NG_046943.1
2792,hsa50511,50511,NG_021181.1
2793,hsa50515,50515,NG_029810.2
2794,hsa5053,5053,NG_008690.2
2795,hsa5054,5054,NG_013213.1
2796,hsa5058,5058,NG_029900.2
2797,hsa50615,50615,NG_012222.1
2798,hsa50616,50616,NG_060763.1
2799,hsa50617,50617,NG_008145.1
2800,hsa50618,50618,NG_029516.1
2801,hsa5062,5062,NG_009227.1
2802,hsa50628,50628,NG_046938.1
2803,hsa5063,5063,NG_008288.2
2804,hsa5066,5066,NG_029444.2
2805,hsa50674,50674,NG_021321.1
2806,hsa5068,5068,NG_029902.1
2807,hsa50700,50700,NG_033979.1
2808,hsa5071,5071,NG_008289.2
2809,hsa50717,50717,NG_034154.1
2810,hsa5073,5073,NG_042871.1
2811,hsa5075,5075,NG_047065.1
2812,hsa5076,5076,NG_008680.2
2813,hsa5077,5077,NG_011632.1
2814,hsa5078,5078,NG_012848.1
2815,hsa5079,5079,NG_033894.1
2816,hsa5080,5080,NG_008679.1
2817,hsa50807,50807,NG_030354.1
2818,hsa50808,50808,NG_028041.1
2819,hsa5081,5081,NG_023262.1
2820,hsa50813,50813,NG_034023.1
2821,hsa5083,5083,NG_013357.1
2822,hsa50846,50846,NG_008973.2
2823,hsa50859,50859,NG_030414.1
2824,hsa5087,5087,NG_028246.2
2825,hsa5091,5091,NG_008319.1
2826,hsa5092,5092,NG_008646.1
2827,hsa5093,5093,NG_029956.1
2828,hsa50937,50937,NG_029776.1
2829,hsa50940,50940,NG_012168.2
2830,hsa50943,50943,NG_007392.1
2831,hsa50945,50945,NG_008998.1
2832,hsa5095,5095,NG_008768.1
2833,hsa5096,5096,NG_008939.1
2834,hsa50964,50964,NG_008078.2
2835,hsa51,51,NG_008190.1
2836,hsa51004,51004,NG_032805.1
2837,hsa51008,51008,NG_031890.1
2838,hsa5101,5101,NG_011876.2
2839,hsa51010,51010,NG_032780.1
2840,hsa51021,51021,NG_008096.1
2841,hsa51022,51022,NG_029745.1
2842,hsa51025,51025,NG_054893.1
2843,hsa5104,5104,NG_032908.2
2844,hsa5105,5105,NG_008205.1
2845,hsa51053,51053,NG_030440.1
2846,hsa5106,5106,NG_008162.2
2847,hsa51062,51062,NG_009028.1
2848,hsa51067,51067,NG_028122.1
2849,hsa51068,51068,NG_047147.1
2850,hsa51079,51079,NG_013380.1
2851,hsa5108,5108,NG_027690.1
2852,hsa51082,51082,NG_028908.1
2853,hsa51083,51083,NG_052785.1
2854,hsa51085,51085,NG_009307.1
2855,hsa51086,51086,NG_032939.2
2856,hsa51094,51094,NG_052860.1
2857,hsa51099,51099,NG_007090.5
2858,hsa5110,5110,NG_033960.1
2859,hsa51100,51100,NG_030018.2
2860,hsa51102,51102,NG_053058.1
